Date,Time,CO2
2024-11-13,13:21:02,460.00
2024-11-13,13:25:57,495.00
2024-11-13,13:31:03,506.00
2024-11-13,13:35:56,463.00
2024-11-13,13:41:01,438.00
2024-11-13,13:45:58,455.00
2024-11-13,13:51:05,504.00
2024-11-13,13:55:58,515.00
2024-11-13,14:01:02,485.00
2024-11-13,14:05:57,487.00
2024-11-13,14:11:04,483.00
2024-11-13,14:15:59,472.00
2024-11-13,14:21:03,481.00
2024-11-13,14:25:59,486.00
2024-11-13,14:31:05,464.00
2024-11-13,14:35:59,479.00
2024-11-13,14:41:03,495.00
2024-11-13,14:45:59,484.00
2024-11-13,14:51:05,475.00
2024-11-13,14:55:57,456.00
2024-11-13,15:01:02,474.00
2024-11-13,15:05:59,498.00
2024-11-13,15:11:05,483.00
2024-11-13,15:15:59,476.00
2024-11-13,15:21:03,489.00
2024-11-13,15:25:58,491.00
2024-11-13,15:31:05,484.00
2024-11-13,15:35:59,471.00
2024-11-13,15:41:02,450.00
2024-11-13,15:45:59,496.00
2024-11-13,15:51:05,532.00
2024-11-13,15:55:58,525.00
2024-11-13,16:01:03,509.00
2024-11-13,16:05:59,492.00
2024-11-13,16:11:05,516.00
2024-11-13,16:15:59,530.00
2024-11-13,16:21:03,535.00
2024-11-13,16:25:58,526.00
2024-11-13,16:31:05,513.00
2024-11-13,16:35:59,495.00
2024-11-13,16:41:03,495.00
2024-11-13,16:45:58,504.00
2024-11-13,16:51:05,499.00
2024-11-13,16:55:59,484.00
2024-11-13,17:01:02,472.00
2024-11-13,17:06,486.00
2024-11-13,17:11:06,501.00
2024-11-13,17:15:58,519.00
2024-11-13,17:21:03,496.00
2024-11-13,17:25:59,473.00
2024-11-13,17:31:04,476.00
2024-11-13,17:35:59,463.00
2024-11-13,17:41:03,470.00
2024-11-13,17:45:59,494.00
2024-11-13,17:51:06,499.00
2024-11-13,17:56,496.00
2024-11-13,18:01:03,503.00
2024-11-13,18:06,505.00
2024-11-13,18:11:06,487.00
2024-11-13,18:16,483.00
2024-11-13,18:21:04,463.00
2024-11-13,18:26,450.00
2024-11-13,18:31:06,486.00
2024-11-13,18:35:59,519.00
2024-11-13,18:41:04,526.00
2024-11-13,18:45:59,494.00
2024-11-13,18:51:05,466.00
2024-11-13,18:56,477.00
2024-11-13,19:01:04,488.00
2024-11-13,19:05:59,486.00
2024-11-13,19:11:06,496.00
2024-11-13,19:16,499.00
2024-11-13,19:21:03,503.00
2024-11-13,19:26,487.00
2024-11-13,19:31:06,442.00
2024-11-13,19:35:59,457.00
2024-11-13,19:41:04,476.00
2024-11-13,19:46,479.00
2024-11-13,19:51:05,474.00
2024-11-13,19:55:59,466.00
2024-11-13,20:01:04,487.00
2024-11-13,20:05:59,472.00
2024-11-13,20:11:06,489.00
2024-11-13,20:16,489.00
2024-11-13,20:21:03,496.00
2024-11-13,20:25:59,503.00
2024-11-13,20:31:06,471.00
2024-11-13,20:35:59,479.00
2024-11-13,20:41:03,467.00
2024-11-13,20:46,466.00
2024-11-13,20:51:06,489.00
2024-11-13,20:55:59,487.00
2024-11-13,21:01:04,469.00
2024-11-13,21:06:01,478.00
2024-11-13,21:11:07,484.00
2024-11-13,21:16,462.00
2024-11-13,21:21:05,485.00
2024-11-13,21:26,521.00
2024-11-13,21:31:07,497.00
2024-11-13,21:36:01,461.00
2024-11-13,21:41:04,471.00
2024-11-13,21:46,489.00
2024-11-13,21:51:07,508.00
2024-11-13,21:56,513.00
2024-11-13,22:01:04,500.00
2024-11-13,22:06:01,496.00
2024-11-13,22:11:06,474.00
2024-11-13,22:16,487.00
2024-11-13,22:21:05,487.00
2024-11-13,22:26,481.00
2024-11-13,22:31:06,518.00
2024-11-13,22:36,512.00
2024-11-13,22:41:04,485.00
2024-11-13,22:46,485.00
2024-11-13,22:51:07,490.00
2024-11-13,22:56:01,484.00
2024-11-13,23:01:05,463.00
2024-11-13,23:06,475.00
2024-11-13,23:11:07,486.00
2024-11-13,23:16:01,467.00
2024-11-13,23:21:05,471.00
2024-11-13,23:26:01,472.00
2024-11-13,23:31:07,488.00
2024-11-13,23:36:01,490.00
2024-11-13,23:41:06,482.00
2024-11-13,23:46:01,465.00
2024-11-13,23:51:07,475.00
2024-11-13,23:56,501.00
2024-11-14,00:01:04,502.00
2024-11-14,00:06,509.00
2024-11-14,00:11:07,516.00
2024-11-14,00:16,486.00
2024-11-14,00:21:04,460.00
2024-11-14,00:26:02,484.00
2024-11-14,00:31:08,492.00
2024-11-14,00:36:01,499.00
2024-11-14,00:41:05,511.00
2024-11-14,00:46:01,518.00
2024-11-14,00:51:07,505.00
2024-11-14,00:56:01,503.00
2024-11-14,01:01:05,497.00
2024-11-14,01:06:01,491.00
2024-11-14,01:11:07,503.00
2024-11-14,01:16:01,511.00
2024-11-14,01:21:05,515.00
2024-11-14,01:26:02,510.00
2024-11-14,01:31:09,497.00
2024-11-14,01:36:01,508.00
2024-11-14,01:41:05,520.00
2024-11-14,01:46:01,513.00
2024-11-14,01:51:07,491.00
2024-11-14,01:56:01,481.00
2024-11-14,02:01:05,495.00
2024-11-14,02:06:01,493.00
2024-11-14,02:11:07,523.00
2024-11-14,02:16:01,523.00
2024-11-14,02:21:05,473.00
2024-11-14,02:26:01,502.00
2024-11-14,02:31:07,518.00
2024-11-14,02:36:02,499.00
2024-11-14,02:41:06,517.00
2024-11-14,02:46:01,535.00
2024-11-14,02:51:08,515.00
2024-11-14,02:56:01,499.00
2024-11-14,03:01:05,496.00
2024-11-14,03:06:01,495.00
2024-11-14,03:11:07,509.00
2024-11-14,03:16:02,479.00
2024-11-14,03:21:05,471.00
2024-11-14,03:26:01,470.00
2024-11-14,03:31:07,474.00
2024-11-14,03:36,488.00
2024-11-14,03:41:05,477.00
2024-11-14,03:46:01,474.00
2024-11-14,03:51:07,477.00
2024-11-14,03:56:03,509.00
2024-11-14,04:01:07,537.00
2024-11-14,04:06:01,527.00
2024-11-14,04:11:08,515.00
2024-11-14,04:16:02,478.00
2024-11-14,04:21:06,467.00
2024-11-14,04:26:02,493.00
2024-11-14,04:31:08,490.00
2024-11-14,04:36:02,487.00
2024-11-14,04:41:06,512.00
2024-11-14,04:46:02,513.00
2024-11-14,04:51:08,509.00
2024-11-14,04:56:01,535.00
2024-11-14,05:01:06,531.00
2024-11-14,05:06:02,515.00
2024-11-14,05:11:09,500.00
2024-11-14,05:16:02,489.00
2024-11-14,05:21:06,499.00
2024-11-14,05:26:02,510.00
2024-11-14,05:31:09,510.00
2024-11-14,05:36:02,511.00
2024-11-14,05:41:06,496.00
2024-11-14,05:46:03,476.00
2024-11-14,05:51:09,509.00
2024-11-14,05:56:02,562.00
2024-11-14,06:01:06,526.00
2024-11-14,06:06:02,478.00
2024-11-14,06:11:08,504.00
2024-11-14,06:16:01,508.00
2024-11-14,06:21:06,491.00
2024-11-14,06:26:01,485.00
2024-11-14,06:31:08,476.00
2024-11-14,06:36:02,486.00
2024-11-14,06:41:06,497.00
2024-11-14,06:46:01,510.00
2024-11-14,06:51:08,501.00
2024-11-14,06:56:02,470.00
2024-11-14,07:01:05,468.00
2024-11-14,07:06:03,466.00
2024-11-14,07:11:09,491.00
2024-11-14,07:16:03,512.00
2024-11-14,07:21:08,497.00
2024-11-14,07:26:04,484.00
2024-11-14,07:31:10,470.00
2024-11-14,07:36:03,484.00
2024-11-14,07:41:08,487.00
2024-11-14,07:46:03,489.00
2024-11-14,07:51:10,498.00
2024-11-14,07:56:04,482.00
2024-11-14,08:01:08,446.00
2024-11-14,08:06:03,450.00
2024-11-14,08:11:10,479.00
2024-11-14,08:16:04,487.00
2024-11-14,08:21:07,502.00
2024-11-14,08:26:04,487.00
2024-11-14,08:31:10,474.00
2024-11-14,08:36:03,497.00
2024-11-14,08:41:08,486.00
2024-11-14,08:46:03,467.00
2024-11-14,08:51:09,472.00
2024-11-14,08:56:03,485.00
2024-11-14,09:01:08,477.00
2024-11-14,09:06:03,467.00
2024-11-14,09:11:10,459.00
2024-11-14,09:16:04,456.00
2024-11-14,09:21:07,488.00
